"Stock Code",Collection,"Stock Level",Category,"Product Type",Brand,Name,Price,Quantity
I194393,"First Instinct for Her",1,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch First Instinct for Her Eau de Parfum 50ml Spray",20.29,
P329222,"First Instinct for Her",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch First Instinct for Her Gift Set 50ml EDP + 200ml Body Lotion",19.58,
W378760,"First Instinct Together For Her",2,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch First Instinct Together For Her Eau de Parfum 50ml Spray",14.45,
B126312,"Naturally Fierce",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Naturally Fierce Eau de Parfum 100ml Spray",16.39,
P809220,"Naturally Fierce",20,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Naturally Fierce Eau de Parfum 30ml Spray",7.18,
L724161,"Naturally Fierce",1,"Fragrance > For Her","Eau de Parfum","Abercrombie & Fitch","Abercrombie & Fitch Naturally Fierce Eau de Parfum 50ml Spray",12.82,
P079615,Idillio,2,"Fragrance > Unisex","Eau de Parfum","Acca Kappa","Acca Kappa Idillio Eau de Parfum 100ml Spray",46.71,
A87985,"Virginia Rose",3,"Fragrance > For Her","Eau de Cologne","Acca Kappa","Acca Kappa Virginia Rose Eau de Cologne 100ml Spray",31.07,
H546874,"White Moss",2,"Fragrance > Unisex","Eau de Parfum","Acca Kappa","Acca Kappa White Moss Eau de Parfum 50ml Spray",32.63,
E891547,Lovelily,2,"Fragrance > For Her","Eau de Parfum",Accessorize,"Accessorize Lovelily Eau de Parfum 75ml Spray",8.16,
J012081,"Acqua Nobile Rosa",20,"Fragrance > For Her","Eau de Parfum","Acqua di Parma","Acqua di Parma Acqua Nobile Rosa Gift Set 100ml EDP + 75ml Body Lotion + 75ml Shower Gel",107.48,
V903564,Barbiere,20,"Skincare > Masks & Peels","Face Mask","Acqua di Parma","Acqua di Parma Barbiere Clay Face Mask 75ml",9.46,
F230951,Barbiere,20,"Skincare > Men's Skincare","Face Wash","Acqua di Parma","Acqua di Parma Barbiere Refreshing Face Wash 100ml",17.47,
D546753,"Blu Mediterraneo Arancia di Capri",20,"Bath & Body > Soap",Soap,"Acqua di Parma","Acqua di Parma Blu Mediterraneo Arancia di Capri Powder Soap 70g",11.74,
D614639,"Blu Mediterraneo Bergamotto di Calabria",20,"Bath & Body > Other Bath & Body",Candle,"Acqua di Parma","Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Candle 200g",31.55,
D286878,"Blu Mediterraneo Bergamotto di Calabria",20,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Eau de Toilette 10ml Roll-On",11.57,
U33846,"Blu Mediterraneo Bergamotto di Calabria",1,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Bergamotto di Calabria Eau de Toilette 75ml Spray",42.10,
P139615,"Blu Mediterraneo Chinotto di Liguria",20,"Bath & Body > Hand Cream","Hand Cream","Acqua di Parma","Acqua Di Parma Blu Mediterraneo Chinotto Di Liguria Hand Lotion 30ml",6.67,
N591887,"Blu Mediterraneo Chinotto di Liguria",20,"Bath & Body > Soap",Soap,"Acqua di Parma","Acqua di Parma Blu Mediterraneo Chinotto di Liguria Powder Soap 70g",8.10,
F98825,"Blu Mediterraneo Chinotto di Liguria",20,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Chinotto Liguria Eau de Toilette 150ml Spray",48.82,
R952223,"Blu Mediterraneo Chinotto di Liguria",2,"Fragrance > For Her","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Chinotto Liguria Eau de Toilette 75ml Spray",45.63,
Z889814,"Blu Mediterraneo Cipresso di Toscana",20,"Fragrance > For Him","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Cipresso di Toscana Eau de Toilette 150ml Spray",59.65,
Z947814,"Blu Mediterraneo Cipresso di Toscana",2,"Fragrance > For Him","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Cipresso di Toscana Eau de Toilette 30ml Spray",34.45,
J47407,"Blu Mediterraneo Cipresso di Toscana",2,"Fragrance > For Him","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Cipresso di Toscana Eau de Toilette 75ml Spray",53.62,
T076247,"Blu Mediterraneo Cipresso di Toscana",20,"Bath & Body > Soap",Soap,"Acqua di Parma","Acqua di Parma Blu Mediterraneo Cipresso di Toscana Powder Soap 70g",10.60,
S043185,"Blu Mediterraneo Fico di Amalfi",2,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Fico di Amalfi Eau de Toilette 30ml Spray",34.15,
Q291144,"Blu Mediterraneo Fico di Amalfi",20,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Fico di Amalfi Eau de Toilette 75ml Spray",50.68,
B956322,"Blu Mediterraneo Fico di Amalfi",20,"Bath & Body > Body Cleansers","Shower Mousse","Acqua di Parma","Acqua di Parma Blu Mediterraneo Fico di Amalfi Shower Mousse 150ml",14.23,
G730613,"Blu Mediterraneo Mandorlo di Sicilia",2,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Mandorlo di Sicilia Eau de Toilette 75ml Spray",52.14,
U265213,"Blu Mediterraneo Mirto di Panarea",2,"Bath & Body > Body Moisturisers","Body Lotion","Acqua di Parma","Acqua di Parma Blu Mediterraneo Mirto di Panarea Body Lotion 150ml",20.20,
Z563421,"Blu Mediterraneo Mirto di Panarea",20,"Bath & Body > Body Scrubs","Body Scrub","Acqua di Parma","Acqua di Parma Blu Mediterraneo Mirto di Panarea Body Scrub 200ml",15.59,
B416376,"Blu Mediterraneo Mirto di Panarea",20,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Mirto di Panarea Eau de Toilette 10ml Roll-On",10.60,
K660261,"Blu Mediterraneo Mirto di Panarea",20,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Blu Mediterraneo Mirto di Panarea Gift Set 75ml EDT + 40ml Shower Gel + 50ml Body Lotion",43.27,
L124306,"Blu Mediterraneo Mirto di Panarea",20,"Bath & Body > Soap",Soap,"Acqua di Parma","Acqua di Parma Blu Mediterraneo Mirto di Panarea Powder Soap 70g",10.60,
V881646,"Blu Mediterraneo Mirto di Panarea",20,"Bath & Body > Body Cleansers","Shower Mousse","Acqua di Parma","Acqua di Parma Blu Mediterraneo Mirto di Panarea Shower Mousse 150ml",10.60,
N200882,Camelia,20,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Camelia Eau de Parfum 100ml Spray",64.77,
X683730,Camelia,20,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Camelia Eau de Parfum 180ml Spray",58.29,
Z443421,Camelia,3,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Camelia Eau de Parfum 20ml Spray",28.47,
M427415,"Collezione Barbiere",20,"Skincare > Men's Skincare","Shaving Oil","Acqua di Parma","Acqua di Parma Collezione Barbiere Shaving Oil 30ml",20.72,
Q542120,"Colonia Ambra",2,"Fragrance > For Him","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Ambra Gift Set 100ml EDC + 75ml Shower Gel",96.45,
S753192,"Colonia Club",20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua Di Parma Colonia Club Eau de Cologne 20ml Spray",26.14,
D690232,"Colonia Club",20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Club Eau de Cologne 50ml Spray",39.45,
L26881,Colonia,20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Eau de Cologne 100ml Spray",70.38,
O20712,"Colonia Essenza",20,"Fragrance > For Him","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Essenza Eau de Cologne 100ml Spray",73.14,
Z609815,"Colonia Essenza",20,"Fragrance > For Him","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Essenza Gift Set 100ml EDC + 75ml Shower Gel + 50ml Deodorant Spray",55.66,
B11988,"Colonia Essenza",1,"Bath & Body > Body Cleansers","Hair & Body Wash","Acqua di Parma","Acqua di Parma Colonia Essenza Shampoo & Shower Gel 200ml",17.07,
D584658,"Colonia Futura",20,"Bath & Body > Deodorants & Anti-Perspirants","Deodorant Stick","Acqua di Parma","Acqua di Parma Colonia Futura Deodorant Stick 75ml",15.26,
V483564,"Colonia Futura",20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Futura Eau de Cologne 100ml Spray",55.46,
T531249,"Colonia Futura",1,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Futura Eau de Cologne 20ml Spray",24.08,
L203763,"Colonia Futura",1,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Futura Eau de Cologne 50ml Spray",39.25,
L925018,"Colonia Futura",20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Futura Eau de Cologne All Over Spray 100ml",32.06,
B262233,Colonia,20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Gift Set 100ml EDC + 75ml Shower Gel + 50ml Deodorant Spray",55.66,
C563496,Colonia,20,"Bath & Body > Soap",Soap,"Acqua di Parma","Acqua di Parma Colonia Powder Soap 70g",10.60,
J28955,"Colonia Pura",20,"Fragrance > For Her","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Pura Eau de Cologne 100ml Spray",54.58,
A612685,"Colonia Pura",20,"Fragrance > Unisex","Eau de Cologne","Acqua di Parma","Acqua di Parma Colonia Pura Eau de Cologne 20ml Spray",24.08,
P095225,"Colonia Pura",20,"Bath & Body > Soap",Soap,"Acqua di Parma","Acqua di Parma Colonia Pura Powder Soap 70g",7.96,
Q894186,Leather,20,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Leather Eau de Parfum 180ml Spray",120.60,
T134262,"Lily of the Valley",20,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Lily of the Valley Eau de Parfum 100ml Spray",94.72,
Z689425,"Magnolia Infinita",20,"Fragrance > For Her","Eau de Parfum","Acqua di Parma","Acqua di Parma Magnolia Infinita Eau de Parfum 100ml Spray",94.72,
R112222,"Magnolia Nobile",20,"Fragrance > For Her","Eau de Parfum","Acqua di Parma","Acqua di Parma Magnolia Nobile Gift Set 100ml EDP + 75ml Shower Gel + 75 Body Creme",107.48,
J169581,"Magnolia Nobile",1,"Fragrance > For Her","Eau de Parfum","Acqua di Parma","Acqua di Parma Magnolia Nobile Gift Set 12ml EDP + 12ml Hair Mist + 30ml Hand Cream",29.30,
Z701420,"Magnolia Nobile",1,"Haircare > Other Haircare","Hair Mist","Acqua di Parma","Acqua di Parma Magnolia Nobile Hair Mist 50ml Spray",21.48,
T744262,Camelia,20,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Miniatures Gift Set 7ml Yuzu EDP + 7ml Camelia EDP + 7ml Osmanthus EDP",30.98,
H480175,Osmanthus,2,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Osmanthus Eau de Parfum 180ml Spray",123.66,
F254851,"Home Collection",20,"Bath & Body > Candles & Diffusers",Candle,"Acqua di Parma","Acqua di Parma Profumi Dell'Orto Candle 200g",30.47,
V043548,Sakura,1,"Fragrance > Unisex","Eau de Parfum","Acqua di Parma","Acqua di Parma Sakura Eau de Parfum 180ml Spray",140.51,
T149259,Yuzu,3,"Fragrance > Unisex","Eau de Toilette","Acqua di Parma","Acqua di Parma Yuzu Gift Set 100ml EDT + 200ml Shower Gel",62.47,
Q894344,Bodycare,20,"Bath & Body > Other Bath & Body","Hand Sanitiser",Active,"Active 70% Alcohol Hand Sanitiser 50ml",2.97,
V643590,"Dynamic Pulse",20,"Fragrance > For Him","Eau de Toilette",Adidas,"Adidas Dynamic Pulse Eau de Toilette 50ml Spray",3.11,
M022424,"Fresh for Women",2,"Bath & Body > Body Cleansers","Shower Gel",Adidas,"Adidas Fresh for Women Shower Gel 250ml",1.33,
L803864,"Ice Dive",20,"Fragrance > For Him","Aftershave Lotion (Splash)",Adidas,"Adidas Ice Dive Gift Set 50ml Aftershave + 50ml Deodorant Roll-On",4.79,
Z80811,"Pure Game",20,"Fragrance > For Him","Eau de Toilette",Adidas,"Adidas Pure Game Eau de Toilette 50ml Spray",3.11,
Y200361,"Skin Detox",20,"Bath & Body > Body Cleansers","Shower Gel",Adidas,"Adidas Skin Detox Shower Gel 250ml",0.95,
L721242,"Victory League",20,"Bath & Body > Deodorants & Anti-Perspirants","Deodorant Spray",Adidas,"Adidas Victory League Deodorant 150ml Spray",1.86,
F69477,"Agua Fresca de Gardenia Musk",2,"Fragrance > For Her","Eau de Toilette","Adolfo Dominguez","Adolfo Dominguez Agua Fresca de Gardenia Musk Eau de Toilette 120ml Spray",21.39,
P949221,"Agua Fresca Lima Tonka",1,"Fragrance > For Him","Eau de Toilette","Adolfo Dominguez","Adolfo Dominguez Agua Fresca Lima Tonka Eau de Toilette 230ml Spray",24.62,
O81112,"Agua Fresca",1,"Bath & Body > Body Cleansers","Shower Gel","Adolfo Dominguez","Adolfo Dominguez Agua Fresca Shower Gel 400ml",5.55,
F083851,"Body Care",20,"Bath & Body > Body Sprays & Mists","Body Mist","Adrienne Vittadini","Adrienne Vittadini AV Midnight Blossom Body Mist 236ml Spray",3.59,
B366405,9PM,20,"Fragrance > For Him","Eau de Parfum","Afnan Perfumes","Afnan Perfumes 9PM Eau de Parfum 100ml Spray",19.64,
R537031,"Balade aux Tuileries",2,"Fragrance > For Her","Eau de Parfum","Agatha Paris","Agatha Paris Balade aux Tuileries Eau de Parfum 100ml Spray",18.42,
T430239,"L'amour à Paris",2,"Fragrance > For Her","Eau de Toilette","Agatha Paris","Agatha Paris L'amour à Paris Gift Set 100ml EDT Spray + Bracelet (This Gift Set contains:  1 x 100ml EDT Spray 1 x Bracelet)",24.78,
T420239,"Un Matin à Paris",2,"Fragrance > For Her","Eau de Toilette","Agatha Paris","Agatha Paris Un Matin à Paris Eau de Toilette 100ml Spray",21.43,
Z771815,"Un Matin à Paris",2,"Fragrance > For Her","Eau de Toilette","Agatha Paris","Agatha Paris Un Matin à Paris Gift Set 100ml EDT Spray + Bracelet (This Gift Set contains:  1 x 100ml EDT Spray 1 x Bracelet)",24.78,
D124660,Flor,2,"Bath & Body > Body Moisturisers","Body Lotion","Agatha Ruiz de la Prada","Agatha Ruiz de la Prada Flor Body Lotion 100ml",2.41,
A035452,"Agent Provocateur",20,"Bath & Body > Other Bath & Body",Mirror,"Agent Provocateur","Agent Provocateur Compact Mirror in Pouch",6.25,
O8,"Agent Provocateur",20,"Fragrance > For Her","Eau de Parfum","Agent Provocateur","Agent Provocateur Eau de Parfum 100ml Spray",14.17,
M661412,"Agent Provocateur",20,"Fragrance > For Her","Eau de Parfum","Agent Provocateur","Agent Provocateur Eau de Parfum 200ml Spray",20.66,
E755227,Fatale,20,"Fragrance > For Her","Eau de Parfum","Agent Provocateur","Agent Provocateur Fatale Eau de Parfum 100ml Spray",14.96,
L52,Maitresse,20,"Fragrance > For Her","Eau de Parfum","Agent Provocateur","Agent Provocateur Maitresse Eau de Parfum 100ml Spray",17.24,
W606834,"Pure Aphrodisiaque",20,"Fragrance > For Her","Eau de Parfum","Agent Provocateur","Agent Provocateur Pure Aphrodisiaque Eau de Parfum 80ml Spray",20.72,
D006780,MyHair,1,"Haircare > Styling Products","Hair Brush","AGV Hair","AGV Hair MyHair Set XS Straightener Matte Black + Black Paddle Brush",29.21,
P993225,"Deadsea Water",20,"Bath & Body > Hand Cream","Hand Cream",Ahava,"Ahava Deadsea Water Mineral Hand Cream 40ml",3.38,
Q894261,Mineral,2,"Bath & Body > Hand Cream","Hand Cream",Ahava,"Ahava Mineral Spring Blossom Hand Cream 100ml",8.85,
C363409,"Time To Clear",2,"Skincare > Exfoliators & Scrubs","Face Scrub",Ahava,"Ahava Time To Clear Facial Mud Exfoliator 100ml",15.13,
Q394215,"Time To Clear",2,"Skincare > Masks & Peels","Face Mask",Ahava,"Ahava Time To Clear Purifying Mud Mask 100ml",14.76,
K690255,"Time To Hydrate",2,"Skincare > Face Moisturisers","Face Cream",Ahava,"Ahava Time To Hydate Essential Day Moisturiser 50ml - Very Dry Skin",21.13,
G141851,"Time To Hydrate",2,"Skincare > Eye Care","Eye Contour Cream",Ahava,"Ahava Time To Hydrate Gentle Eye Cream 15ml",17.15,
T364253,"Time To Smooth",2,"Skincare > Anti-Ageing","Anti-Ageing Serum",Ahava,"Ahava Time To Smooth Age Control Even Tone Essence 100ml",19.52,
